id,template,ocorrencias
84,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000675_0/part-<id>. <block>,1
85,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000705_0/part-<id>. <block>,1
86,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001095_0/part-<id>. <block>,1
87,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001365_0/part-<id>. <block>,1
88,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001506_0/part-<id>. <block>,1
89,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001597_0/part-<id>. <block>,1
90,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001377_0/part-<id>. <block>,1
91,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001728_0/part-<id>. <block>,1
92,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001661_0/part-<id>. <block>,1
93,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001630_0/part-<id>. <block>,1
94,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001817_0/part-<id>. <block>,1
95,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001840_0/part-<id>. <block>,1
96,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001976_0/part-<id>. <block>,1
97,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir51/<block>,1
98,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811101024_0001_m_000206_0/part-<id>. <block>,1
99,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir20/<block>,1
100,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir12/<block>,1
