id;template;keywords;tfidf;llm
66;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir58/<block>;Unknown;Disk Failure;
67;received block <block> src: /<ip>:<id> dest: /<ip>:<id> of size <id>;Unknown;Disk Failure;
68;block* namesystem.allocateblock: /user/root/randtxt5/_temporary/_task_200811101024_0012_m_001709_0/part-<id>. <block>;Unknown;Disk Failure;
69;block* ask <ip>:<id> to delete <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block>;Unknown;Disk Failure;
70;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir3/<block>;Unknown;Disk Failure;
71;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir17/<block>;Unknown;Disk Failure;
72;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir43/<block>;Unknown;Disk Failure;
73;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-<id>. <block>;Unknown;Disk Failure;
74;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-<id>. <block>;Unknown;Disk Failure;
75;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-<id>. <block>;Unknown;Disk Failure;
76;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-<id>. <block>;Unknown;Disk Failure;
77;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-<id>. <block>;Unknown;Disk Failure;
78;block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-<id>. <block>;Unknown;Disk Failure;
79;block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-<id>. <block>;Unknown;Disk Failure;
80;block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-<id>. <block>;Unknown;Disk Failure;
81;block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000138_0/part-<id>. <block>;Unknown;Disk Failure;
82;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000382_0/part-<id>. <block>;Unknown;Disk Failure;
83;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000392_0/part-<id>. <block>;Unknown;Disk Failure;
84;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000675_0/part-<id>. <block>;Unknown;Disk Failure;
85;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000705_0/part-<id>. <block>;Unknown;Disk Failure;
86;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001095_0/part-<id>. <block>;Unknown;Disk Failure;
87;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001365_0/part-<id>. <block>;Unknown;Disk Failure;
88;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001506_0/part-<id>. <block>;Unknown;Disk Failure;
89;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001597_0/part-<id>. <block>;Unknown;Disk Failure;
90;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001377_0/part-<id>. <block>;Unknown;Disk Failure;
91;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001728_0/part-<id>. <block>;Unknown;Disk Failure;
92;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001661_0/part-<id>. <block>;Unknown;Disk Failure;
93;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001630_0/part-<id>. <block>;Unknown;Disk Failure;
94;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001817_0/part-<id>. <block>;Unknown;Disk Failure;
95;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001840_0/part-<id>. <block>;Unknown;Disk Failure;
96;block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001976_0/part-<id>. <block>;Unknown;Disk Failure;
97;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir51/<block>;Unknown;Disk Failure;
98;block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811101024_0001_m_000206_0/part-<id>. <block>;Unknown;Disk Failure;
99;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir20/<block>;Unknown;Disk Failure;
100;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir12/<block>;Unknown;Disk Failure;
